#,Bucket,Task,Priority,Duration (days),Owner (label),Depends on (#),Checklist,Reference
1,Initiation & Sign-off,"Confirm scope, roles & the single review",High,1,Me (PM/Dev),,"In/out of scope (internal; public embed); success measures (launch by 31 Jul, WCAG AA, IT sign-off) | Roles: Me = PM + developer; Edu = finalised content; PVAW = pedagogy oversight; Digital = QA + integration; IT = security sign-off | Agree ONE stakeholder review (Edu + PVAW)",
2,Initiation & Sign-off,Confirm AMES technical prerequisites,High,1,Digital team,,Drupal CSP in force?; cookie-consent tool | Hosting choice (subdomain vs subfolder); target URL,AMES_DRUPAL_INTEGRATION.md
3,Initiation & Sign-off,Set up the Planner plan & link docs,Medium,1,Me (PM/Dev),,"Finalise buckets, labels, goals | Attach GDD, integration, security, project plan",PROJECT_PLAN_PLANNER.md
4,Content Intake & Build,Receive finalised game content document (Edu team),High,1,Edu team,,"Edu delivered final copy, choices and structure on 1 Jul 2026 | Confirm completeness; clarify gaps before build (build trigger)",
5,Content Intake & Build,Build the game visuals & world,High,4,Me (PM/Dev),4,"Set up the app; procedural tree (trunk, branches, roots) with stage-based growth | Living landscape (sky, hills, meadow, sun, clouds, ambient motion) | Health-driven states: decline (leaf fall, thinning, bark, snag) + watering / heal feedback",
6,Content Intake & Build,Build the game flow & interface,High,3,Me (PM/Dev),5,"Branching logic & game state (choices, forward/back navigation, outcome resolution) | UI panel & responsive layout (question, choices, insight, progress, support line; desktop panel vs mobile bottom-sheet) | Synthesised audio (mute toggle) + save/resume progress",
7,Content Intake & Build,Wire in the finalised content & the three outcomes,High,2,Me (PM/Dev),6,Load the Edu copy and branches end-to-end | The three outcomes (Healthy / Healing / Under strain) + path recap,
8,Content Intake & Build,Pedagogy guardrail check (with PVAW),High,1,Me (PM/Dev) + PVAW team,7,"Support line on every screen; no ""wrong answer"" on pressures/impacts | Harm never heals; no shame language; damaged outcome reversible",GAME_DESIGN_DOCUMENT.md
9,Content Intake & Build,Accessibility (WCAG 2.1 AA) & internal build QA,High,2,Me (PM/Dev),7,Keyboard nav & focus; labels/text alternatives; contrast; reduced-motion; screen-reader run-through | Cross-device polish; fix build issues | Static export (output:'export'; npm run build -> out/); test locally,AMES_DRUPAL_INTEGRATION.md
10,Security & Integration,Provision hosting & apply security headers/CSP,High,2,Digital team,9,"Subdomain (recommended) or subfolder; DNS, HTTPS, MIME/cache; deploy out/ | CSP, HSTS, X-Content-Type-Options, frame-ancestors, Referrer-Policy, Permissions-Policy (tuned to the build)",AMES_DRUPAL_INTEGRATION.md
11,Security & Integration,Embed in the Drupal page & run security scans,High,2,Digital team,10,Create page/block; responsive iframe; allow <iframe> in text format; title/allow attributes | npm audit / SCA; OWASP ZAP; manual XSS test on the commitment field,AMES_DRUPAL_INTEGRATION.md
12,Security & Integration,IT/Security review & sign-off,High,1,IT/Security,"10, 11",Walk the risk register; complete the go-live checklist | Record approval,SECURITY_RISK_ASSESSMENT.md
13,QA,"QA - functional, cross-browser/device & accessibility",High,2,Digital team,11,All branches & three outcomes; back/restart; persistence; audio; edge cases | Chrome/Edge/Safari/Firefox; iOS & Android; iframe scaling; keyboard focus | Screen reader / keyboard-only / contrast / reduced-motion,
14,QA,Fix issues found in QA,High,2,Me (PM/Dev),13,Triage and fix; redeploy | Retest with the Digital team,
15,Stakeholder Review & Sign-off,Stakeholder review & sign-off (Edu + PVAW),High,2,Edu team + PVAW team,14,"One consolidated review of the QA-d game (both teams together) | Confirm build matches the finalised content; pedagogy, guardrails, support line | Capture one set of feedback; record sign-off",
16,Stakeholder Review & Sign-off,Address review feedback,High,2,Me (PM/Dev),15,Implement agreed changes | Re-confirm with stakeholders if needed,
17,Launch & Handover,Go-live readiness review,High,1,Me (PM/Dev),"12, 16",Tick security go-live checklist + QA + accessibility | Confirm IT sign-off AND stakeholder sign-off are in,SECURITY_RISK_ASSESSMENT.md
18,Launch & Handover,"Publish, announce & smoke test",High,1,Digital team + Me (PM/Dev),17,Publish page; add to menu/nav; internal comms; optional soft launch | Verify live page; headers live; support line visible,
19,Launch & Handover,"Monitor, support & documentation handover",Medium,3,Me (PM/Dev),18,Watch feedback/error reports; triage with the Digital team (first weeks); patch cadence | Store all docs in AMES repo / SharePoint; lessons learned; future ideas with Edu/PVAW,
20,Analytics & Privacy,Set up analytics & events (GA4) + data-minimisation,Medium,2,Me (PM/Dev),18,"Add gtag + lib/analytics to the live site; fire game_start, choice_made, outcome_reached, commitment_written, restart | Report the two measures Thuy asked for: number of participants (unique game_start/users) and time spent (GA4 engagement time) | Data-minimisation: NO free-text/commitment sent; only fixed labels, kind, hidden health",AMES_DRUPAL_INTEGRATION.md
21,Analytics & Privacy,"GA4 property, consent, privacy notice & verify",High,1,Digital team + Me (PM/Dev),20,GA4 data stream / Measurement ID; consent (Consent Mode v2 / banner); IP anonymisation; update privacy policy | Verify events in DebugView/Realtime (no free-text captured); mark key events; basic reports,SECURITY_RISK_ASSESSMENT.md
